,Month," Tourists Number (Overnight Visitors) 
عدد السياح (زوار المبيت)"," Overnight Stay
ليالي الإقامة"," Tourists Spending
إنفاق السياح"," Average Length of Stay
متوسط مدة الإقامة"," Avergae Spending per Trip
متوسط إنفاق السائح على الرحلة"," Average Spending per Night
متوسط إنفاق السائح في الليلة",الشهر,
,Unit, ('000), ('000), (SAR Mn), (Night) (ليلة), (SAR) (ريال), (SAR) (ريال),الوحدة,
2021,January,"5,920","30,553","8,947",5.2,"1,511",293,يناير,2021
,February,"4,376","21,794","6,681",5.0,"1,527",307,فبراير,
,March,"4,408","22,466","6,682",5.1,"1,516",297,مارس,
,April,"4,431","22,860","6,950",5.2,"1,569",304,أبريل,
,May,"6,728","45,029","11,448",6.7,"1,702",254,مايو,
,June,"4,166","26,069","7,031",6.3,"1,688",270,يونيو,
,July,"7,533","59,880","13,917",7.9,"1,847",232,يوليو,
,August,"5,482","30,082","8,878",5.5,"1,619",295,أغسطس,
,September,"4,185","18,999","6,145",4.5,"1,468",323,سبتمبر,
,October,"5,399","23,105","7,546",4.3,"1,398",327,أكتوبر,
,November,"6,713","31,475","11,018",5,"1,641",350,نوفمبر,
,December,"4,494","21,018","6,939",5,"1,544",330,ديسمبر,
 Total,,"63,834","353,331","102,184",5.5,"1,601",289,الإجمالي,
2022,January,"7,675","34,353","11,355",4.5,"1,479",331,يناير,2022
,February,"6,450","28,567","9,134",4.4,"1,416",320,فبراير,
,March,"6,205","28,204","8,296",4.5,"1,337",294,مارس,
,April,"8,036","40,268","10,115",5.0,"1,259",251,أبريل,
,May,"7,246","31,569","9,526",4.4,"1,315",302,مايو,
,June,"4,033","18,237","6,001",4.5,"1,488",329,يونيو,
,July,"10,796","71,351","17,657",6.6,"1,636",247,يوليو,
,August,"7,008","34,453","11,232",4.9,"1,603",326,أغسطس,
,September,"4,196","16,914","5,232",4.0,"1,247",309,سبتمبر,
,October,"4,838","19,287","5,944",4.0,"1,229",308,أكتوبر,
,November,"7,003","29,206","8,260",4,"1,179",283,نوفمبر,
,December,"4,350","17,197","4,508",4,"1,036",262,ديسمبر,
 Total,,"77,837","369,606","107,259",4.7,"1,378",290,الإجمالي,
2023,January,"6,294","34,513","8,333",5.5,"1,324",241,يناير,2023
,February,"5,608","29,356","7,621",5.2,"1,359",260,فبراير,
,March,"6,502","35,353","9,743",5.4,"1,499",276,مارس,
,April,"6,881","38,120","9,428",5.5,"1,370",247,أبريل,
,May,"5,003","27,152","6,714",5.4,"1,342",247,مايو,
,June,"9,548","77,843","15,412",8.2,"1,614",198,يونيو,
,July,"8,118","57,518","11,261",7.1,"1,387",196,يوليو,
,August,"6,986","37,990","8,627",5.4,"1,235",227,أغسطس,
,September,"6,074","34,494","8,309",5.7,"1,368",241,سبتمبر,
,October,"6,202","39,443","9,070",6.4,"1,462",230,أكتوبر,
,November,"8,220","49,168","10,769",6,"1,310",219,نوفمبر,
,December,"6,484","34,393","9,120",5,"1,407",265,ديسمبر,
 Total,,"81,920","495,341","114,407",6.0,"1,397",231,الإجمالي,
