,Month," Religious
الأغراض الدينية"," Business
الأعمال"," Leisure*
الترفيه*"," Other
أخرى"," Visiting Friends& Relatives
زيارة الأصدقاء أو الأقارب"," Total
الإجمالي",الشهر,,,,
2021,January,542,619,"1,878",244,"2,636","5,920",يناير,2021,,,
,February,384,469,"1,202",205,"2,116","4,376",فبراير,,,Leisure*,"(Recreation, Shopping & Sports) "
,March,387,529,"1,215",159,"2,118","4,408",مارس,,,الترفيه*, (الاستجمام والتسوق والرياضة)
,April,538,517,"1,193",300,"1,882","4,431",أبريل,,,,
,May,578,596,"2,127",233,"3,193","6,728",مايو,,,,
,June,295,426,"1,561",139,"1,744","4,166",يونيو,,,,
,July,491,358,"2,403",243,"4,038","7,533",يوليو,,,,
,August,388,464,"2,136",226,"2,268","5,482",أغسطس,,,,
,September,377,367,"1,511",133,"1,797","4,185",سبتمبر,,,,
,October,451,455,"2,344",298,"1,851","5,399",أكتوبر,,,,
,November,587,420,"2,866",584,"2,256","6,713",نوفمبر,,,,
,December,442,210,"1,931",210,"1,700","4,494",ديسمبر,,,,
 Total,,"5,459","5,430","22,367","2,975","27,602","63,834",الإجمالي,,,,
2022,January,596,342,"2,868",318,"3,551","7,675",يناير,2022,,,
,February,587,273,"2,417",336,"2,837","6,450",فبراير,,,,
,March,549,283,"2,180",313,"2,879","6,205",مارس,,,,
,April,"1,469",278,"2,115",274,"3,900","8,036",أبريل,,,,
,May,590,372,"2,718",299,"3,268","7,246",مايو,,,,
,June,282,248,"1,717",214,"1,572","4,033",يونيو,,,,
,July,948,500,"3,713",371,"5,263","10,796",يوليو,,,,
,August,758,535,"2,776",307,"2,632","7,008",أغسطس,,,,
,September,500,299,"1,862",224,"1,311","4,196",سبتمبر,,,,
,October,488,432,"2,233",308,"1,377","4,838",أكتوبر,,,,
,November,750,511,"3,284",464,"1,994","7,003",نوفمبر,,,,
,December,495,433,"1,979",212,"1,232","4,350",ديسمبر,,,,
 Total,,"8,014","4,505","29,863","3,640","31,815","77,837",الإجمالي,,,,
2023,January,658,537,"3,086",274,"1,739","6,294",يناير,2023,,,
,February,636,546,"2,619",218,"1,589","5,608",فبراير,,,,
,March,996,633,"2,605",311,"1,957","6,502",مارس,,,,
,April,"1,133",613,"2,523",259,"2,354","6,881",أبريل,,,,
,May,526,536,"2,246",300,"1,396","5,003",مايو,,,,
,June,"1,235",786,"3,887",389,"3,252","9,548",يونيو,,,,
,July,753,729,"3,689",517,"2,431","8,118",يوليو,,,,
,August,837,800,"2,836",339,"2,174","6,986",أغسطس,,,,
,September,690,667,"2,473",342,"1,902","6,074",سبتمبر,,,,
,October,707,835,"2,417",289,"1,954","6,202",أكتوبر,,,,
,November,997,793,"3,585",308,"2,537","8,220",نوفمبر,,,,
,December,758,720,"3,046",211,"1,749","6,484",ديسمبر,,,,
 Total,,"9,925","8,195","35,010","3,757","25,033","81,920",الإجمالي,,,,
