,Month,Indicator, Albaha, Alqassim, Aseer, Eastern, Hail, Jazan, Jouf, Madinah, Makkah, Najran, Northern Borders, Riyadh, Tabuk, Total,المؤشر, الشهر,
2021,January,Tourists Number (Overnight Visitors),"58,295","324,087","491,541","922,493","177,308","297,021","74,102","443,723","1,652,849","74,951","76,032","1,120,515","206,791","5,919,708",عدد السياح (زوار المبيت),يناير,2021
,,Tourists Spending (SAR),"75,157,579","329,434,917","612,299,889","1,454,036,673","236,169,292","311,532,939","136,472,640","542,021,352","2,538,304,764","165,835,677","149,356,944","2,054,162,705","342,426,713","8,947,212,084",إنفاق السياح (ريال),,
,February,Tourists Number (Overnight Visitors),"34,469","262,738","382,596","745,978","116,427","208,592","61,338","276,068","1,233,271","64,037","62,842","760,632","166,926","4,375,914",عدد السياح (زوار المبيت),فبراير,
,,Tourists Spending (SAR),"40,889,285","249,390,132","444,756,392","1,240,385,350","167,936,595","201,216,460","107,897,398","342,078,236","1,933,280,184","143,865,585","108,072,664","1,373,554,545","328,139,941","6,681,462,766",إنفاق السياح (ريال),,
,March,Tourists Number (Overnight Visitors),"64,736","266,316","314,178","780,669","119,169","173,450","54,716","293,061","1,198,175","55,717","59,066","863,652","165,132","4,408,037",عدد السياح (زوار المبيت),مارس,
,,Tourists Spending (SAR),"89,759,210","235,674,681","434,826,808","1,300,083,606","151,748,474","238,179,371","100,469,590","393,198,171","1,769,758,289","77,272,333","96,313,085","1,505,860,476","289,108,104","6,682,252,197",إنفاق السياح (ريال),,
,April,Tourists Number (Overnight Visitors),"55,486","276,424","391,049","714,622","103,228","127,996","62,742","287,437","1,361,018","76,416","65,435","745,191","163,959","4,431,003",عدد السياح (زوار المبيت),أبريل,
,,Tourists Spending (SAR),"58,453,265","278,059,084","497,944,048","1,150,978,576","150,694,085","115,673,927","116,544,028","313,648,818","2,277,884,018","118,714,239","132,747,768","1,370,155,564","368,928,354","6,950,425,773",إنفاق السياح (ريال),,
,May,Tourists Number (Overnight Visitors),"158,744","433,533","593,132","904,806","200,512","310,647","89,546","447,597","2,125,268","81,276","92,875","1,072,745","217,231","6,727,912",عدد السياح (زوار المبيت),مايو,
,,Tourists Spending (SAR),"208,515,699","509,212,357","1,051,940,457","1,634,264,238","285,531,337","449,426,257","169,317,500","675,157,504","3,884,238,337","154,629,808","216,485,217","1,787,131,231","421,957,685","11,447,807,627",إنفاق السياح (ريال),,
,June,Tourists Number (Overnight Visitors),"95,902","241,182","473,945","598,067","112,058","167,231","47,694","250,211","1,195,801","43,828","48,676","719,255","171,719","4,165,569",عدد السياح (زوار المبيت),يونيو,
,,Tourists Spending (SAR),"128,893,855","254,932,378","906,488,720","1,131,424,124","164,885,268","231,109,621","78,641,681","299,544,240","1,902,252,904","90,375,786","101,826,377","1,356,695,390","384,036,823","7,031,107,167",إنفاق السياح (ريال),,
,July,Tourists Number (Overnight Visitors),"261,898","448,717","1,026,884","871,073","246,875","264,803","99,842","503,309","1,969,917","104,803","102,968","1,388,876","243,386","7,533,351",عدد السياح (زوار المبيت),يوليو,
,,Tourists Spending (SAR),"387,767,473","533,813,219","2,163,741,888","1,703,996,508","441,529,210","369,047,492","266,797,157","653,182,131","3,867,833,918","182,166,860","294,895,449","2,557,423,836","494,921,390","13,917,116,533",إنفاق السياح (ريال),,
,August,Tourists Number (Overnight Visitors),"139,665","287,146","614,477","710,812","124,346","201,034","65,821","325,546","1,787,497","89,533","70,458","874,637","191,278","5,482,250",عدد السياح (زوار المبيت),أغسطس,
,,Tourists Spending (SAR),"187,698,316","340,903,072","1,076,787,744","1,177,513,215","205,514,019","272,632,383","105,104,416","425,952,360","2,714,842,738","165,986,106","144,396,378","1,698,160,251","362,310,360","8,877,801,358",إنفاق السياح (ريال),,
,September,Tourists Number (Overnight Visitors),"56,620","286,350","309,502","606,267","128,020","185,306","54,556","285,685","1,268,430","53,217","48,176","763,818","139,350","4,185,297",عدد السياح (زوار المبيت),سبتمبر,
,,Tourists Spending (SAR),"54,266,418","283,666,244","395,688,000","747,608,920","155,808,748","234,280,785","95,862,197","396,288,132","1,968,990,309","94,133,483","124,758,604","1,340,761,589","253,176,374","6,145,289,804",إنفاق السياح (ريال),,
,October,Tourists Number (Overnight Visitors),"68,976","280,028","363,064","796,055","159,911","220,290","80,191","381,905","1,683,137","82,504","84,874","979,718","217,907","5,398,560",عدد السياح (زوار المبيت),أكتوبر,
,,Tourists Spending (SAR),"72,448,934","219,156,494","379,636,960","948,468,625","236,874,869","193,868,353","161,352,004","443,142,508","2,175,981,159","609,018,677","173,448,007","1,557,202,588","375,830,819","7,546,429,997",إنفاق السياح (ريال),,
,November,Tourists Number (Overnight Visitors),"72,000","428,167","540,670","913,056","232,422","278,839","102,492","520,917","1,852,298","80,222","84,148","1,355,376","252,144","6,712,751",عدد السياح (زوار المبيت),نوفمبر,
,,Tourists Spending (SAR),"72,044,390","427,642,996","579,206,074","1,138,144,705","314,176,520","251,300,627","187,208,521","835,170,604","3,982,305,995","119,751,751","168,222,073","2,495,892,560","447,287,119","11,018,353,936",إنفاق السياح (ريال),,
,December,Tourists Number (Overnight Visitors),"33,474","233,187","383,358","709,001","129,366","227,256","55,171","349,375","1,147,845","57,125","54,111","961,922","152,355","4,493,546",عدد السياح (زوار المبيت),ديسمبر,
,,Tourists Spending (SAR),"35,285,401","215,355,650","330,629,269","1,012,174,615","156,934,243","213,669,364","92,967,204","397,554,189","1,987,365,582","176,600,505","91,230,529","2,011,119,470","217,967,759","6,938,853,782",إنفاق السياح (ريال),,
,Total,Tourists Number (Overnight Visitors),"1,100,265","3,767,875","5,884,396","9,272,899","1,849,642","2,662,465","848,211","4,364,834","18,475,506","863,629","849,661","11,606,337","2,288,178","63,833,898",عدد السياح (زوار المبيت),الإجمالي,
,,Tourists Spending (SAR),"1,411,179,825","3,877,241,224","8,873,946,248","14,639,079,155","2,667,802,660","3,081,937,581","1,618,634,337","5,716,938,244","31,003,038,196","2,098,350,810","1,801,753,097","21,108,120,205","4,286,091,441","102,184,113,023",إنفاق السياح (ريال),,
2022,January,Tourists Number (Overnight Visitors),"48,472","390,502","532,636","1,201,506","222,938","300,939","128,030","580,164","2,084,903","105,576","124,274","1,653,045","302,175","7,675,160",عدد السياح (زوار المبيت),يناير,2022
,,Tourists Spending (SAR),"59,269,366","451,744,922","575,188,826","1,736,172,979","307,576,290","333,205,739","297,061,181","816,909,770","2,889,864,033","205,173,655","299,886,587","2,626,343,103","756,611,903","11,355,008,353",إنفاق السياح (ريال),,
,February,Tourists Number (Overnight Visitors),"37,792","349,713","396,562","1,044,118","163,346","205,688","106,086","465,742","1,790,593","94,897","110,373","1,464,860","220,168","6,449,938",عدد السياح (زوار المبيت),فبراير,
,,Tourists Spending (SAR),"41,924,750","485,981,867","416,727,696","1,062,182,056","260,029,505","221,259,116","206,030,689","625,592,259","2,405,311,238","196,576,072","340,435,269","2,368,349,939","503,115,819","9,133,516,274",إنفاق السياح (ريال),,
,March,Tourists Number (Overnight Visitors),"43,728","351,766","365,198","958,961","167,726","155,334","89,630","488,231","1,781,854","63,068","66,321","1,478,679","194,259","6,204,755",عدد السياح (زوار المبيت),مارس,
