,Month," Tourists Number (Overnight Visitors) 
عدد السياح (زوار المبيت)"," Overnight Stay
ليالي الإقامة"," Tourists Spending
إنفاق السياح"," Average Length of Stay
متوسط مدة الإقامة"," Avergae Spending per Trip
متوسط إنفاق السائح على الرحلة"," Average Spending per Night
متوسط إنفاق السائح في الليلة",الشهر,
,Unit, ('000), ('000), (SAR Mn), (Night) (ليلة), (SAR) (ريال), (SAR) (ريال),الوحدة,
2021,January,233,"2,342",948,10.1,"4,072",405,يناير,2021
,February,125,"1,251",582,10.0,"4,655",465,فبراير,
,March,148,"1,136",503,7.7,"3,392",443,مارس,
,April,176,"1,394",801,7.9,"4,549",575,أبريل,
,May,185,"1,186",745,6.4,"4,030",628,مايو,
,June,175,"1,174",794,6.7,"4,524",676,يونيو,
,July,231,"1,722",996,7.4,"4,305",578,يوليو,
,August,257,"1,898",966,7.4,"3,754",509,أغسطس,
,September,308,"2,375","1,111",7.7,"3,605",468,سبتمبر,
,October,453,"5,025","1,933",11.1,"4,267",385,أكتوبر,
,November,494,"4,909","2,240",9.9,"4,539",456,نوفمبر,
,December,691,"7,360","3,097",10.6,"4,479",421,ديسمبر,
, Total,"3,477","31,771","14,716",9.1,"4,232",463,الإجمالي,
2022,January,549,"10,615","3,147",19.3,"5,733",296,يناير,2022
,February,689,"13,206","4,778",19.2,"6,934",362,فبراير,
,March,"1,217","20,216","7,708",16.6,"6,333",381,مارس,
,April,"1,612","29,396","12,214",18.2,"7,575",416,أبريل,
,May,"1,104","16,545","5,853",15.0,"5,300",354,مايو,
,June,867,"12,055","3,718",13.9,"4,287",308,يونيو,
,July,"1,766","18,939","15,806",10.7,"8,952",835,يوليو,
,August,"1,311","22,315","7,868",17.0,"6,003",353,أغسطس,
,September,"1,539","30,331","7,718",19.7,"5,015",254,سبتمبر,
,October,"1,753","30,484","8,886",17.4,"5,070",291,أكتوبر,
,November,"1,840","29,667","8,539",16.1,"4,641",288,نوفمبر,
,December,"2,391","36,958","12,060",15.5,"5,044",326,ديسمبر,
, Total,"16,638","270,728","98,295",16.3,"5,908",363,الإجمالي,
2023,January,"2,482","35,032","10,572",14.1,"4,260",302,يناير,2023
,February,"2,456","35,628","11,705",14.5,"4,766",329,فبراير,
,March,"2,870","56,788","17,298",19.8,"6,028",305,مارس,
,April,"2,424","42,784","12,964",17.6,"5,348",303,أبريل,
,May,"1,514","31,927","9,164",21.1,"6,051",287,مايو,
,June,"2,847","59,436","30,290",20.9,"10,637",510,يونيو,
,July,"1,350","16,327","4,974",12.1,"3,685",305,يوليو,
,August,"2,109","26,730","6,953",12.7,"3,296",260,أغسطس,
,September,"2,040","28,142","7,735",13.8,"3,792",275,سبتمبر,
,October,"2,191","30,203","9,159",13.8,"4,180",303,أكتوبر,
,November,"2,238","34,673","9,790",15.5,"4,375",282,نوفمبر,
,December,"2,903","34,629","10,629",11.9,"3,662",307,ديسمبر,
, Total,"27,424","432,299","141,234",15.8,"5,150",327,الإجمالي,
