,Month," Religious
الأغراض الدينية"," Business
الأعمال"," Leisure*
الترفيه*"," Other
 أخرى"," Visiting Friends& Relatives
زيارة الأصدقاء أو الأقارب"," Total
الإجمالي",الشهر,,,,
2021,January,3,70,6,22,131,233,يناير,2021,,Leisure*,"(Recreation, Shopping & Sports) "
,February,3,51,3,17,52,125,فبراير,,,الترفيه*, (الاستجمام والتسوق والرياضة)
,March,2,67,6,24,49,148,مارس,,,,
,April,6,71,9,29,61,176,أبريل,,,,
,May,7,64,12,35,67,185,مايو,,,,
,June,3,69,12,36,55,175,يونيو,,,,
,July,11,65,26,47,81,231,يوليو,,,,
,August,5,81,25,44,103,257,أغسطس,,,,
,September,29,85,24,41,129,308,سبتمبر,,,,
,October,52,115,40,45,202,453,أكتوبر,,,,
,November,64,131,55,46,198,494,نوفمبر,,,,
,December,89,144,95,55,310,691,ديسمبر,,,,
, Total,274,"1,013",312,440,"1,438","3,477",الإجمالي,,,,
2022,January,84,105,84,51,225,549,يناير,2022,,,
,February,199,107,95,70,218,689,فبراير,,,,
,March,372,163,143,133,407,"1,217",مارس,,,,
,April,721,175,164,115,437,"1,612",أبريل,,,,
,May,280,141,103,107,473,"1,104",مايو,,,,
,June,13,151,67,114,522,867,يونيو,,,,
,July,810,115,122,182,537,"1,766",يوليو,,,,
,August,370,140,148,183,471,"1,311",أغسطس,,,,
,September,618,140,215,90,475,"1,539",سبتمبر,,,,
,October,820,146,285,72,429,"1,753",أكتوبر,,,,
,November,823,139,404,90,384,"1,840",نوفمبر,,,,
,December,886,144,636,171,554,"2,391",ديسمبر,,,,
, Total,"5,996","1,667","2,466","1,377","5,132","16,638",الإجمالي,,,,
2023,January,"1,035",150,523,164,609,"2,482",يناير,2023,,,
,February,"1,105",144,514,157,536,"2,456",فبراير,,,,
,March,"1,378",165,533,146,648,"2,870",مارس,,,,
,April,"1,005",147,549,122,601,"2,424",أبريل,,,,
,May,348,166,386,101,513,"1,514",مايو,,,,
,June,"1,715",129,424,101,479,"2,847",يونيو,,,,
,July,185,132,453,124,457,"1,350",يوليو,,,,
,August,749,146,580,127,507,"2,109",أغسطس,,,,
,September,861,147,469,115,448,"2,040",سبتمبر,,,,
,October,981,169,513,126,402,"2,191",أكتوبر,,,,
,November,991,175,508,136,427,"2,238",نوفمبر,,,,
,December,"1,115",194,794,226,574,"2,903",ديسمبر,,,,
, Total,"11,466","1,865","6,246","1,645","6,201","27,424",الإجمالي,,,,
