avatarurl,checkindate,checkoutdate,countrycode,countryname,customertype,guesttypetranslation,helpfulvotescount,hotelid,isapproved,negativetext,numnights,positivetext,reviewscore,revieweddate,roomid,roomname,title,username
https://graph.facebook.com/v2.9/10203533448254675/picture?type=square&height=64&width=64,2023-02-16,2023-02-18,bh,Bahrain,FAMILIES,Family,1.0,2570643,True,Location is too close to government buildings so at weekdays it will have traffic near by the hotel,2,"I really enjoyed my stay, room was clean and cozy. staff were so friendly and helpful also breakfast was delicious and has so many selections",10,"2/22/2023, 1:53:16 PM",257064326,Standard King Room,No doubt I plan to come back again,Ali
https://xx.bstatic.com/static/img/review/avatars/ava-a.png,2025-01-08,2025-01-09,sa,Saudi Arabia,FAMILIES,Family,1.0,2570643,True,Unknown,1,"The receptionist Saita, she was amazing checking me in and introducibg me my benefits being a member with IHG",10,"1/9/2025, 8:36:25 PM",257064345,Standard King Room with City View,Unknown,Albraa
https://xx.bstatic.com/static/img/review/avatars/ava-s.png,2025-01-01,2025-01-04,ae,United Arab Emirates,FAMILIES,Family,1.0,2570643,True,The swimming pool was closed,3,The hotel is clean and spacious And the food Was excellent,10,"1/5/2025, 8:09:13 AM",257064326,Standard King Room,Unknown,Sam
https://xx.bstatic.com/static/img/review/avatars/ava-h.png,2025-01-03,2025-01-04,ae,United Arab Emirates,SOLO_TRAVELLERS,Solo traveler,1.0,2570643,True,Nothing,1,"Spacious, very clean room. Helpful team and great location.",10,"1/5/2025, 7:09:17 AM",257064345,Standard King Room with City View,Highly recommended,Haitham
https://lh4.googleusercontent.com/-FNlr7yiOScc/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjX1NrsIKBLKhqerhFMvP3kxwWgANw/s96-c/photo.jpg,2024-12-31,2025-01-03,kw,Kuwait,FAMILIES,Family,1.0,2570643,True,Unknown,3,Everything was amazing it was better than what i thought i really enjoyed my stay,10,"1/4/2025, 5:38:36 PM",257064326,Standard King Room,Unknown,Sugar021
https://xx.bstatic.com/static/img/review/avatars/ava-k.png,2024-12-31,2025-01-03,ae,United Arab Emirates,COUPLES,Couple,1.0,2570643,True,Well maintained,3,Cleaning,10,"1/3/2025, 6:50:05 PM",257064330,Standard Room,Love the style,Khalid
https://xx.bstatic.com/static/img/review/avatars/ava-a.png,2024-12-25,2024-12-28,om,Oman,COUPLES,Couple,1.0,2570643,True,Unknown,3,"All staff are very nice, thanks to Mr. Elven and Ms. Chery for them  welcome in the morning breakfast.",10,"12/29/2024, 11:16:32 AM",257064345,Standard King Room with City View,Unknown,Abdullah
https://graph.facebook.com/v2.9/4967565773293337/picture?type=square&height=64&width=64,2024-12-21,2024-12-22,ae,United Arab Emirates,SOLO_TRAVELLERS,Solo traveler,1.0,2570643,True,Unknown,1,Location,9,"12/27/2024, 3:18:23 PM",257064330,Standard Room,Unknown,Olga
https://xx.bstatic.com/static/img/review/avatars/ava-o.png,2024-12-20,2024-12-22,gb,United Kingdom,SOLO_TRAVELLERS,Solo traveler,1.0,2570643,True,Unknown,2,The facilities & staff were excellent. In particular Sultan at the front desk was very helpful and always goes above and beyond to help make our stay memorable.,10,"12/26/2024, 12:57:27 PM",257064330,Standard Room,Unknown,Omaer
https://lh3.googleusercontent.com/a/AATXAJyMdDmP4Ddh_WYwGrT2j60LplrblCH18ywpTTxr=s96-c,2024-12-13,2024-12-14,sa,Saudi Arabia,COUPLES,Couple,1.0,2570643,True,There is nothing uncomfortable to notice,1,Professional treatment of employees is the most important reason to observe,10,"12/18/2024, 1:15:16 PM",257064326,Standard King Room,"The receptionist when I arrived at the hotel, she was distinguished in her dealings and style of dialogue with me (the s",Ayman
https://xx.bstatic.com/static/img/review/avatars/ava-a.png,2024-01-20,2024-01-21,sa,Saudi Arabia,COUPLES,Couple,1.0,1640044,True,Unknown,1,"Staff, comfort, cleaning, quiet",10,"1/21/2024, 6:43:18 PM",164004403,Standard King Room,I had a wonderful stay I didn’t complain about any thing at all,Abdulelah
Unknown,2025-02-05,2025-02-06,ae,United Arab Emirates,SOLO_TRAVELLERS,Solo traveler,1.0,1640044,True,jacuzzi wasnt warmed up and ready to use,1,"clean, nice room. very friendly staff",9,"2/6/2025, 6:16:41 PM",164004403,Standard King Room,Unknown,Florian
https://xx.bstatic.com/static/img/review/avatars/ava-e.png,2025-02-01,2025-02-02,sa,Saudi Arabia,SOLO_TRAVELLERS,Solo traveler,1.0,1640044,True,Nothing,1,"My mother was extremely pleased with the excellent care provided by the staff, particularly the receptionist.",10,"2/2/2025, 7:31:40 PM",164004403,Standard King Room,My mother’s stay was enjoyable and marked by attentive service.,Etidal
https://graph.facebook.com/v2.9/10153486272825736/picture?type=square&height=64&width=64,2025-02-01,2025-02-02,au,Australia,FAMILIES,Family,1.0,1640044,True,Unknown,1,"Staff, Facilities, locations, restaurant. We stayed in Jeddah overnight before heading home.",9,"2/2/2025, 10:51:35 AM",164004403,Standard King Room,Excellent,Raheel
https://xx.bstatic.com/static/img/review/avatars/ava-h.png,2025-01-03,2025-01-04,sa,Saudi Arabia,COUPLES,Couple,1.0,1640044,True,"Breakfast, toilet was fair but not good",1,"Staff, location, cleanliness",9,"2/1/2025, 8:49:07 AM",164004408,Junior Suite,very good,Habib
https://lh3.googleusercontent.com/a-/AOh14Ggn-5W0ZE8i2So_zLBvXHyweE3BIanpsHL4DEGCbw=s96-c,2025-01-22,2025-01-23,sa,Saudi Arabia,FAMILIES,Family,1.0,1640044,True,All good,1,Very clean and spacious. And very nice staff. Good breakfast.,10,"1/28/2025, 10:53:16 AM",164004407,Deluxe King Room,Unknown,Enrico
https://lh6.googleusercontent.com/-wxsH8ZRsnvQ/AAAAAAAAAAI/AAAAAAAAAAA/AFiYof0jNbySyYfkF6SVPhj_wJL_3KrGMw/s96-c/photo.jpg,2024-12-27,2024-12-28,bd,Bangladesh,FAMILIES,Family,1.0,1640044,True,Arrival to the main entrance.  Felt like the back side of the hotel.,1,The amenities of the hotel.,8,"1/25/2025, 12:27:20 AM",164004403,Standard King Room,Unknown,Akhter
https://graph.facebook.com/v2.9/274351689584024/picture?type=square&height=64&width=64,2024-12-30,2025-01-01,de,Germany,FAMILIES,Family,1.0,1640044,True,"External pool only for men. Spa without staff, if you want a massage, you need to bring your own masseuse. Room was huge, but bathroom small.",2,Food is great! It is clean,8,"1/24/2025, 6:37:59 AM",164004408,Junior Suite,Unknown,Francesca
https://lh4.googleusercontent.com/-1_97RpE3EyQ/AAAAAAAAAAI/AAAAAAAACMk/01CeTZsA6vA/s96-c/photo.jpg,2025-01-08,2025-01-10,sa,Saudi Arabia,SOLO_TRAVELLERS,Solo traveler,1.0,1640044,True,Unknown,2,"Location, services (specially the reception), decent prices, and spacious rooms.",10,"1/12/2025, 4:14:39 PM",164004403,Standard King Room,"Spacious rooms, very good service, and the best location.",Ebraheem
https://lh5.googleusercontent.com/-8fTDU3enD9g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckZQ7LUzJ9ZxVKFgOSTHV_xTgnwJQ/s96-c/photo.jpg,2025-01-05,2025-01-07,so,Somalia,COUPLES,Couple,1.0,1640044,True,Nathing,2,"I was extremely satisfied with my experience. The staff were professional, friendly, and attentive, ensuring my comfort throughout my stay. The room was spacious, clean, and well-maintained, offering a relaxing environment. The hotel's location was ideal, with easy access to attractions, shopping centers, and restaurants. Dining options were diverse and of high quality, and the modern amenities, including fast Wi-Fi and a well-equipped gym, added to the overall comfort. Considering the service, comfort, and location, Sunset Hotel offered great value for money, and I would highly recommend it.",10,"1/11/2025, 10:54:58 AM",164004403,Standard King Room,"My stay at Sunset Hotel in Jeddah was exceptional, with excellent service, comfort, and value for mo",Ali
