Month," Tourists Number (Overnight Visitors) 
عدد السياح (زوار المبيت)"," Overnight Stay
ليالي الإقامة"," Tourists Spending
إنفاق السياح"," Average Length of Stay
متوسط مدة الإقامة"," Avergae Spending per Trip
متوسط إنفاق السائح على الرحلة"," Average Spending per Night
متوسط إنفاق السائح في الليلة",Tourism Type
January,"2,482","35,032","10,572",14.1,"4,260",302,Inbound
February,"2,456","35,628","11,705",14.5,"4,766",329,Inbound
March,"2,870","56,788","17,298",19.8,"6,028",305,Inbound
April,"2,424","42,784","12,964",17.6,"5,348",303,Inbound
May,"1,514","31,927","9,164",21.1,"6,051",287,Inbound
June,"2,847","59,436","30,290",20.9,"10,637",510,Inbound
July,"1,350","16,327","4,974",12.1,"3,685",305,Inbound
August,"2,109","26,730","6,953",12.7,"3,296",260,Inbound
September,"2,040","28,142","7,735",13.8,"3,792",275,Inbound
October,"2,191","30,203","9,159",13.8,"4,180",303,Inbound
November,"2,238","34,673","9,790",15.5,"4,375",282,Inbound
December,"2,903","34,629","10,629",11.9,"3,662",307,Inbound
 Total,"27,424","432,299","141,234",15.8,"5,150",327,Inbound
January,"6,294","34,513","8,333",5.5,"1,324",241,Domestic
February,"5,608","29,356","7,621",5.2,"1,359",260,Domestic
March,"6,502","35,353","9,743",5.4,"1,499",276,Domestic
April,"6,881","38,120","9,428",5.5,"1,370",247,Domestic
May,"5,003","27,152","6,714",5.4,"1,342",247,Domestic
June,"9,548","77,843","15,412",8.2,"1,614",198,Domestic
July,"8,118","57,518","11,261",7.1,"1,387",196,Domestic
August,"6,986","37,990","8,627",5.4,"1,235",227,Domestic
September,"6,074","34,494","8,309",5.7,"1,368",241,Domestic
October,"6,202","39,443","9,070",6.4,"1,462",230,Domestic
November,"8,220","49,168","10,769",6,"1,310",219,Domestic
December,"6,484","34,393","9,120",5,"1,407",265,Domestic
,"81,920","495,341","114,407",6.0,"1,397",231,Domestic
