Month,Indicator, Albaha, Alqassim, Aseer, Eastern, Hail, Jazan, Jouf, Madinah, Makkah, Najran, Northern Borders, Riyadh, Tabuk, Grand Total,Tourism Type, Total
January,Tourists Number (Overnight Visitors),340,"9,200","12,528","632,931","28,913","2,523","16,537","21,751","1,438,682","3,154","31,059","277,064","7,187","2,481,869",Inbound,
,Tourists Spending (SAR),"1,478,175","21,402,044","71,216,272","1,338,169,462","80,905,151","6,559,335","52,509,481","72,132,624","7,554,454,967","8,972,560","57,086,319","1,288,712,271","18,576,638","10,572,175,299",Inbound,
February,Tourists Number (Overnight Visitors),,"9,589","12,560","492,589","27,920","4,242","10,028","29,462","1,535,632",104,"23,316","298,581","11,754","2,455,777",Inbound,
,Tourists Spending (SAR),,"29,720,194","57,789,652","1,128,397,354","341,555,952","17,648,777","40,592,840","108,739,070","8,644,388,198","2,276,632","56,343,576","1,245,332,262","32,172,835","11,704,957,342",Inbound,
March,Tourists Number (Overnight Visitors),,"17,300","13,241","462,527","51,614","1,410","17,522","25,194","1,946,028",,"23,987","293,704","17,020","2,869,547",Inbound,
,Tourists Spending (SAR),,"57,194,374","126,205,358","906,349,862","446,833,800","4,713,392","75,516,980","111,185,066","13,905,221,556",,"44,077,157","1,583,386,646","36,905,635","17,297,589,825",Inbound,
April,Tourists Number (Overnight Visitors),,"1,990","14,417","513,121","29,591",100,"12,962","63,456","1,558,043",207,"20,602","206,650","3,002","2,424,141",Inbound,
,Tourists Spending (SAR),,"5,241,659","113,260,986","1,004,530,495","61,958,759","622,983","22,577,259","467,886,250","10,358,924,343","740,734","28,825,523","897,098,655","2,294,928","12,963,962,574",Inbound,
May,Tourists Number (Overnight Visitors),"1,188","7,621","8,306","354,705","49,748","1,205","15,763","14,661","742,731",326,"23,093","283,954","11,099","1,514,400",Inbound,
,Tourists Spending (SAR),"2,827,554","19,273,936","97,602,225","1,069,073,151","597,894,851","5,150,635","54,250,898","64,319,451","5,000,148,092","935,508","43,727,653","2,178,635,294","30,088,840","9,163,928,087",Inbound,
June,Tourists Number (Overnight Visitors),,"4,730","8,631","482,663","20,201","1,192","13,897","15,846","2,041,278",918,"39,531","206,559","12,049","2,847,495",Inbound,
,Tourists Spending (SAR),,"15,666,851","38,359,271","878,604,316","103,741,514","2,669,380","42,146,100","71,152,865","28,149,525,586","477,061","77,673,212","883,163,699","26,986,649","30,290,166,504",Inbound,
