address,addressobj/city,addressobj/country,addressobj/postalcode,addressobj/street1,amenities/0,amenities/1,amenities/2,amenities/3,ancestorlocations/0/id,ancestorlocations/0/name,ancestorlocations/0/subcategory,ancestorlocations/1/id,ancestorlocations/1/name,ancestorlocations/1/subcategory,ancestorlocations/2/id,ancestorlocations/2/name,ancestorlocations/2/subcategory,category,categoryreviewscores/0/categoryname,categoryreviewscores/0/score,categoryreviewscores/1/categoryname,categoryreviewscores/1/score,categoryreviewscores/2/categoryname,categoryreviewscores/2/score,checkindate,checkoutdate,hotelclass,id,image,input,isnearbyresult,latitude,locallangcode,localname,locationstring,longitude,name,numberofreviews,photocount,photos/0,rankingdenominator,rankingposition,rankingstring,rating,ratinghistogram/count1,ratinghistogram/count2,ratinghistogram/count3,ratinghistogram/count4,ratinghistogram/count5,rawranking,subcategories/0,type,weburl
"Ibrahim Al Khalil Rd Masfelah District, Mecca 24231 Saudi Arabia",Mecca,Saudi Arabia,24231,Ibrahim Al Khalil Rd,Wheelchair access,Restaurant,Non-smoking rooms,Laundry Service,293993,Mecca,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.5,Rooms,3.6,Value,3.6,2025-02-05,2025-02-06,0.0,26493633,https://media-cdn.tripadvisor.com/media/photo-o/0e/27/0d/a6/dar-al-eiman-grand.jpg,Saudi Arabia,False,21.413115,ar,‫Emaar Grand Hotel‬,"Mecca, Makkah Province",39.822033,Emaar Grand Hotel,167,121,https://media-cdn.tripadvisor.com/media/photo-o/0e/1f/e0/e3/20161225-010506-largejpg.jpg,310.0,106.0,#106 of 310 hotels in Mecca,3.0,42,11,40,42,32,3.0370445251464844,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293993-d26493633-Reviews-Emaar_Grand_Hotel-Mecca_Makkah_Province.html
"8792 Al Rayan Unit No. 1 Imam Boukhari Street, Buraidah 52344 Saudi Arabia",Buraidah,Saudi Arabia,52344,8792 Al Rayan,Pool,Internet,Suites,Room service,652389,Buraidah,City,2628882,Al Qasim Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.5,Rooms,3.9,Value,4.0,2025-02-05,2025-02-06,4.0,12679816,https://media-cdn.tripadvisor.com/media/photo-o/12/a5/26/81/radisson-blu-hotel-buraidah.jpg,Saudi Arabia,False,26.347807,ar,راديسون بلو بريدة,"Buraidah, Al Qasim Province",43.923424,"Radisson Blu Hotel, Buraidah",135,26,https://media-cdn.tripadvisor.com/media/photo-o/12/a5/26/81/radisson-blu-hotel-buraidah.jpg,18.0,2.0,#2 of 18 hotels in Buraidah,4.0,11,9,8,37,70,3.565850257873535,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g652389-d12679816-Reviews-Radisson_Blu_Hotel_Buraidah-Buraidah_Al_Qasim_Province.html
"Al Urubah Rd Umm Al Hamam Al Gharbi, Riyadh 12328 Saudi Arabia",Riyadh,Saudi Arabia,12328,Al Urubah Rd,Unknown,Unknown,Unknown,Unknown,293995,Riyadh,City,2628867,Riyadh Province,Province,293991.0,Saudi Arabia,Country,hotel,Unknown,4.2,Unknown,4.0,Unknown,4.0,2025-02-05,2025-02-06,0.0,23999395,https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/59/bb/75/outdoor-seating.jpg,Saudi Arabia,False,24.699633,ar,‫Voyage Hotel‬,"Riyadh, Riyadh Province",46.64364,Voyage Hotel,3,5,https://media-cdn.tripadvisor.com/media/photo-o/2e/59/bb/73/outdoor-seating.jpg,317.0,140.0,#140 of 317 hotels in Riyadh,3.5,0,0,2,0,1,3.043771505355835,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293995-d23999395-Reviews-Voyage_Hotel-Riyadh_Riyadh_Province.html
"Muhammad Zaidan, Al Naeem, Jeddah, Jeddah 23526 Saudi Arabia",Jeddah,Saudi Arabia,23526,"Muhammad Zaidan, Al Naeem, Jeddah",Unknown,Unknown,Unknown,Unknown,295419,Jeddah,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,5.0,Value,5.0,Service,5.0,2025-02-05,2025-02-06,4.0,25343320,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/d0/d4/ee/caption.jpg,Saudi Arabia,False,21.618576,ar,‫Jasmine Garden Hotel‬,"Jeddah, Makkah Province",39.15313,Jasmine Garden Hotel,3,5,https://media-cdn.tripadvisor.com/media/photo-o/29/d0/d4/ea/caption.jpg,253.0,60.0,#60 of 253 hotels in Jeddah,5.0,0,0,0,0,3,3.1011061668396,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g295419-d25343320-Reviews-Jasmine_Garden_Hotel-Jeddah_Makkah_Province.html
"Al Dalaa Northern 1244 Bldg No 8964, NEOM Community 1, Sharmaa 49643 Saudi Arabia",Sharmaa,Saudi Arabia,49643,"Al Dalaa Northern 1244 Bldg No 8964, NEOM Community 1",Internet,Free Internet,Free parking,Wheelchair access,12700977,Sharmaa,City,2628869,Tabuk Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,5.0,Rooms,4.0,Value,3.0,2025-02-05,2025-02-06,3.0,27000074,https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/b8/e3/c7/guest-room-bath.jpg,Saudi Arabia,False,28.108091,ar,‫Hampton By Hilton Sharma‬,"Sharmaa, Tabuk Province",35.110935,Hampton By Hilton Sharma,6,75,https://media-cdn.tripadvisor.com/media/photo-o/2b/91/de/99/caption.jpg,1.0,1.0,#1 of 1 hotels in Sharmaa,4.0,0,0,2,1,3,3.1257569789886475,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g12700977-d27000074-Reviews-Hampton_By_Hilton_Sharma-Sharmaa_Tabuk_Province.html
"Corniche Road Al Shatiea, Jeddah 21411 Saudi Arabia",Jeddah,Saudi Arabia,21411,Corniche Road,Pool,Internet,Kids Activities,Suites,295419,Jeddah,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.6,Rooms,4.4,Value,4.1,2025-02-05,2025-02-06,5.0,24147156,https://media-cdn.tripadvisor.com/media/photo-o/2d/78/52/7a/hotel.jpg,Saudi Arabia,False,21.627949,ar,‫Joudyan Jeddah Red Sea Mall‬,"Jeddah, Makkah Province",39.10976,Joudyan Jeddah Red Sea Mall,138,113,https://media-cdn.tripadvisor.com/media/photo-o/2d/78/52/7a/hotel.jpg,253.0,16.0,#16 of 253 hotels in Jeddah,4.5,9,4,10,10,106,4.046740531921387,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g295419-d24147156-Reviews-Joudyan_Jeddah_Red_Sea_Mall-Jeddah_Makkah_Province.html
"North Hail City Road, Ha'il Saudi Arabia",Ha'il,Saudi Arabia,Unknown,North Hail City Road,Pool,Internet,Suites,Room service,1641845,Ha'il,City,2628885,Ha'il Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.7,Rooms,4.5,Value,4.1,2025-02-05,2025-02-06,5.0,10062182,https://media-cdn.tripadvisor.com/media/photo-o/2c/2f/2e/4a/exlounge.jpg,Saudi Arabia,False,27.65289,ar,‫Millennium Hail Hotel‬,"Ha'il, Ha'il Province",41.723907,Millennium Hail Hotel,250,171,https://media-cdn.tripadvisor.com/media/photo-o/2c/2f/2e/4a/exlounge.jpg,11.0,1.0,#1 of 11 hotels in Ha'il,4.5,13,11,15,41,170,4.21942663192749,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g1641845-d10062182-Reviews-Millennium_Hail_Hotel-Ha_il_Ha_il_Province.html
"King Fahd Road, Dammam 31441 Saudi Arabia",Dammam,Saudi Arabia,31441,King Fahd Road,Restaurant,Free Wifi,Breakfast Buffet,Internet,298547,Dammam,City,2628852,Eastern Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.2,Rooms,3.0,Value,3.1,2025-02-05,2025-02-06,4.0,583421,https://media-cdn.tripadvisor.com/media/photo-o/12/20/7b/60/dammam-palace-hotel.jpg,Saudi Arabia,False,26.428589,ar,‫Dammam Palace Hotel‬,"Dammam, Eastern Province",50.103542,Dammam Palace Hotel,45,52,https://media-cdn.tripadvisor.com/media/photo-o/12/20/67/29/hotel-building.jpg,38.0,12.0,#12 of 38 hotels in Dammam,3.0,3,10,14,16,2,3.0735177993774414,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298547-d583421-Reviews-Dammam_Palace_Hotel-Dammam_Eastern_Province.html
"Jarir Street Al Ihsa Interchange, Riyadh 12831 Saudi Arabia",Riyadh,Saudi Arabia,12831,Jarir Street,Pool,Internet,Suites,Free Internet,293995,Riyadh,City,2628867,Riyadh Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.5,Rooms,4.3,Value,4.5,2025-02-05,2025-02-06,4.0,15368089,https://media-cdn.tripadvisor.com/media/photo-w/2c/32/1b/6f/ich-riyadh-exterior.jpg,Saudi Arabia,False,24.672031,ar,‫IntercityHotel Riyadh Malaz‬,"Riyadh, Riyadh Province",46.736122,IntercityHotel Riyadh Malaz,15,24,https://media-cdn.tripadvisor.com/media/photo-o/15/a1/8f/2c/hotel-exterior-evening.jpg,957.0,76.0,#76 of 957 hotels in Riyadh,4.0,2,0,1,4,8,3.1735177040100098,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293995-d15368089-Reviews-IntercityHotel_Riyadh_Malaz-Riyadh_Riyadh_Province.html
"Prince Turkey Street 6681 Al Amir Turki, Unit No. 1, Al Khobar 34413 Saudi Arabia",Al Khobar,Saudi Arabia,34413,Prince Turkey Street,Restaurant,Free Wifi,Fitness center,Bath / Shower,298545,Al Khobar,City,2628852,Eastern Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.9,Rooms,4.9,Value,4.4,2025-02-05,2025-02-06,4.0,19460166,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/ff/40/59/in-room-dining.jpg,Saudi Arabia,False,26.3054,ar,سنترو الكورنيش,"Al Khobar, Eastern Province",50.2237,Centro Corniche Al Khobar,38,143,https://media-cdn.tripadvisor.com/media/photo-o/2b/ff/40/59/in-room-dining.jpg,103.0,22.0,#22 of 103 hotels in Al Khobar,4.0,4,2,5,2,25,3.2731525897979736,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298545-d19460166-Reviews-Centro_Corniche_Al_Khobar-Al_Khobar_Eastern_Province.html
